acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.752,0.9,0.723809523809524,0.976232031404445,0.390245049068578,0.811904761904762,0.0481663783151692,0.104582503316759,0.0726092889617948,0.0234765488920397,0.048936605675254,0.0304532791483012,0.7,0.82,0.74,0.72,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.752,0.9,0.723809523809524,0.976232031404445,0.390245049068578,0.811904761904762,0.0481663783151692,0.104582503316759,0.0726092889617948,0.0234765488920397,0.048936605675254,0.0304532791483012,0.7,0.82,0.74,0.72,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.825,0.790476190476191,0.961394251394251,0.437342657342657,0.807738095238095,0.0477493455452533,0.111803398874989,0.0722178613719196,0.0246402792852804,0.0545983247443834,0.0350635154167218,0.72,0.78,0.84,0.82,0.82,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.825,0.790476190476191,0.959747715630069,0.432013574660633,0.807738095238095,0.0328633534503099,0.0684653196881458,0.0391230398217976,0.01490778837144,0.0488990133968915,0.0364871727530403,0.78,0.76,0.84,0.82,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.76,0.9,0.733333333333333,0.976676970225357,0.397262592928228,0.816666666666667,0.04,0.104582503316759,0.066068747264341,0.0232426254014438,0.0405286297680527,0.0234911753103228,0.74,0.82,0.74,0.72,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
